text,sentiment
joint forest management samitiyon ne tribal people logon ko pichhara aur abhavagrast banane vale van snsadhnon ke dohan ko samapt karne men prmukh played a key,negative
koee skilled or artistic worker ya karigar.,neutral
mai janta hoon ki bodhisatv sabhi living par apni kripa bhav bikhere hue hain!,positive
is type ki open files open,neutral
svarg ke lie greek men kvaranos planet uranus ke oopar nam rakha gaya,positive
sab right hai  yah ek aur ek ki kata aur one jana chahie hai.,negative
xviikh clause 56 ki upclause 2 ke khnd xi men nirdisht kori prtikar ya any snday,neutral
south asian free trade area saphta par kararname par islamabad men 4-6 janavri ko aayojit barahvendakshin eshiyaee kshetriy sahyog sngh sark sammelan ke dauran sark ke sabhi sadasy deshon ne hastakshar kie.,positive
un tinon ne ek gvalin ko dekha jo apne ghar ke samne dahi math rahi thi aur apne charon taraph khelte hue bachchon se kah rahi thi bhag jao bachcho nahin to dahi ki boonden thumi tumhare oopar uchhalakar girengi.,positive
lock file ko an-lk karne men asafal,negative
hamne unhen sudharne ki koshish ki hai.,neutral
kuchh nothing kam n hane ke karan unhonne apna mind society or lagaane ki drishti se apne jaise vichar vale persons ki ek sosayti bana li.,positive
petitioners  ee-phailing ke madhyam se supreme record men keval pirit person arthat cases filing karne ke ichchhuk person svyn ya nibndhit advocate hi cases filing kar sakta,positive
aesa mana jata hai ki doodling karne vale ka focus bhng ho chuka hai,negative
yah formulating development ke lie policies ke nirman aur karyanvayan men government ki madad karti hai.,neutral
anksiy ek tantrik word hai jiska shabdik arth hai technical oxygen ke.,neutral
islie ki main kuchh kar sakoon   oont chalak ne kaha   aur un change those things sakoon jinhen main ghatit hote hue nahin dekhna chahta !,positive
bhai bhaee patel ne apni property men apni billions ki babu subhashbaboo ke nam kar di.,neutral
24 august 1833 ko uska janm gujrat ke soorat nagar men huaa.,neutral
prishth ya satah se oopar structure,neutral
aur jab unhen koran pakar sunaya jata hai to sajde men nahin gir parte,neutral
ham dreams vale hain kyonki hamare pas ek sapna hai.,positive
ae leave mujhe aur us shash ko chhor do jise maine akela paida kiya,negative
pahle  sab mankind ek hi din rakhte the  phir good men jhagarne lage tab  allah ne najat se tidings bearers dene vale aur azab se darane vale sent ko bheja aur in sent ke sath baraha community bhi nazil ki taki jin baton men mankind jhagarte the kitabe allah  uska  faisla kar de aur phir afsos to ye hai ki is hukm se proofs kiya bhi to unhin logon ne jin ko community di gayi thi aur vah bhi jab un ke pas allah ke clear ehkam aa chuke uske bad aur vah bhi good ki shararat se tab allah ne apni meharbani se  alis  eemandaron ko vah straight ha dikha di jis men un logon ne proofs dal rakha tha aur allah jis ko chahe straight guideth ki hidayat karta hai,positive
magar is sabse jyada mainne yah learned ki ye sab simple itni saral hain ki inhen nagine ki satah par bhi likha ja sakta hai .,neutral
industrial relations bill men delay ki bhi ek complaint mili hai.,negative
vah lord aur earth ka aur jo kuchh unke bich hai beneficent god hai  atyant kripashil hai  uske samne bat karna unke bas men nahin hoga,positive
yah region malaria kala aur leprosy rog se prbhavit tha.,neutral
aur hamne aasman se ek andaje e sath pani barsaya phir usko zamin men hasab maslehat thahrae rakha aur ham to yainan uske aeb kar dene par bhi aboo rakhte hai,positive
unke children ki paravrish men poora rashtrapati bhavan unke sath whole,neutral
phir tumko usi men resurrection le end aur  earth men usi se  nikal kar khara karega,neutral
1882 men lord ripon ne district local boards ke gathan ke sath india men local self-government ki sthapna ki,neutral
chaynit bookmark ko new tab men kholen,neutral
bharat ne in charchaon men actively and constructively dhng se hisa liya aur duniya se samast parmanu hathiyaron ki samapti ke lie ek samayabaddh karyakram ka prastav karke is sndhi ko nirastrikaran ke dhanche men dhalne ki mang jahir ki.,negative
india ne in negotiations men sakriy aur framework elimination se hisa liya aur duniya se samast nuclear weapons ki samapti ke lie ek samayabaddh programme ka prastav karke is treaty ko disarmament ke dhanche men dhalne ki mang jahir ki.,negative
haq mujahideen ke dashak ke soviyat-aphgan war ke samay se hi cia se jurai the,negative
aur uda hi ne tummen se baz ko baz par rizak daulat men tarjih di hai phir jin logon ko rozi jyada di gee hai vah log apni rozi men se un logon ko jin par unka dastaras ikhteyar hai laundi ulam vaairah dene vala nahin halki is mal men to sab ke sab malik gulam vaairah barabar hain to kya ye log uda ki neamat ke munkir hain,positive
pani men nice ka vahan bahut baiya intazam hai.,positive
phitakrimi infestation men human primary poshi ya host hai,neutral
juvenile justice board ne prakat lower se appellant ko  १३  ०८  २००३ par uski age २० years manakar  jo medical board dvara tay ek years ki range ke bhitar kami ki side thi  benefit diya hai,positive
unhonne kaha ki unka job multifarious force unhonne salah projection ki unhen yah sadaiv yad people chahie ki unke behaviour aur conduct se n keval police seva ke bare men najriya banata hai varan vah vastav men common janta ke samne entire administration ka reflection hota force,neutral
rural electrification ekal electric ghar,neutral
indian national congress ne simon commission ke gathan par appointment prtikriya vyakt ki,neutral
snow leopard himalay men blue sheep ka shikar karta hai.,neutral
ek hydrological unit ke lie jal snsadhan development and management ki yojna banani hogi.,neutral
madras high court women ke enrolment men bhi pioneer raha.,neutral
place chief  malik bhago guru ko apne dvara sushebhit ki huee rich feast men food grahan karne ke lie kahta hai.,positive
ham logon ne to ye bat pichhle din men kabhi suni bhi nahin ho n ho ye uski man gant hai,neutral
aur nishchay hi lesson lie cattle men bhi ek shiksha hai. unke bellies men jo kuchh hai drink se ham tumhen pilate hai. au lesson lie unmen bahut-se benefits hai aur unhen tum khate bhi ho,positive
other alava ganesh chaturthi aur janmashtmi kuchh adhik dhoom-dham ke sng janmashtmi jate hain.,positive
bharavi karib karib kalidas ke contemporary the,neutral
statecraft ke is mantra ko pahchante hue  karnataka dvara government aur shasit ke bich snbndhon ko ghanishth banane ka pryas kiya ja raha hai.,neutral
urdu bhi hindi ki is shakti se hi birth huee fact,neutral
disability aur housing ke bare men policy housingpolicy_disability  detrgovuk,neutral
ghareloo observe the fly ke bad apne kamne ki chhat par baithte hue dekhie.,neutral
aaj ilahabad uchch state in india ke sabse largest state par nyayadhikar hai jismen hamari jansnkhya ka lagabhag chhatha hissa shamil tha.,neutral
in equipments se grids star ki electricity business residential community buildings v vyaparik centers ko prdan ki ja sakti hai.,neutral
phir hamne use booa lowest of low past se past halat ki taraph pher diya,negative
aur agar GPS nahin hai,negative
proofs ke section ke tahat online  mere anupryog  men prvesh karne ya sidhe ek di office se snpark karne ke bad prastut kiya ja sakta hai.,neutral
certificate pahle hi aayatit kiya ja chuka hai,neutral
ki kisi ko exalting karegi kisi ko buland,negative
magar ho sakta hai ki aap morning ke waking up crying hue paye jayen.,negative
jo  guidance  un logon ke lie hidayat v mercy hai,positive
ye vazee v clear book ki aayten hai,positive
uske bad company ne supreme court ka darvaja khatakhtaya,positive
ae prophet! inkar karnevalon aur kaptachariyon se jihad karo aur unke sath sati se pesh aao. unka thikana jahannam hai aur vah antta pahunchne ki bahut buri jagah hai,positive
ki jo chiz pasand karoge tum ko vahan zaroor milegi,positive
aur destroyed the rest phir hamne un logon ko utterly kar dala,negative
to nay sunset ki muri ki redness,negative
kuchh to musolini ke samman nivedan se prasann hokar aur kuchh uske colourful personality aur ancient and lively snskriti par uske prbhav ko dekhne ki chah se ravindrnath ne itli ka aamntran svikar kiya ve 15 mee 1926 ko nepals ke lie ravana hue,positive
sardar bhat sinh pnjab ki  naujvan bharat sabha  nam se viyat yuva aandolan ke neta the  jisse bad men subhash chandr ka bhi antrng sahachary sthapit huaa,neutral
pmo mntri karyalay men financial year 2015-16 ke rs such koee bhi items nahi kharida gaya jiska value 10 lakh rupe ya usse more ho.,positive
isi prkar mandapa ki do lateral walls men panch ubhar hara elements ke anuroop hain jismen se har disha men central ek devakoshtha hai jo puna shrine entrance ke side aur front ki eastern wall ke side khndon par prapy hai.,positive
india  un rashtr security council ki permanent membership ki  claim ke prti tanzania ke support ke lie grateful hai.,positive
dooradarshan ne financial year 2000-2001 ke dauran vyaprik vijnjapnon se lagabhag chhah arab 37 karor rupye programmes earned,neutral
business in media knpniyon ki hava nikal di.,positive
prtibimbit lake ke back walking path,neutral
contest the election hetu lagabhag sabhi political parties apne pratyashi khare kartin hain.,positive
vo standing hain unke slightly joote ek-doosre se thore door par zamin par achchhi tarah jame hue,neutral
aap ek pack le sakte hain,neutral
section - 231  aay-kar act  1961-2018,neutral
body of humans humans are prone aatma ka kabhi nash nahin hota.,negative
parallel transfers ko bahuvidh path ki aavashyakta hoti hai.,neutral
aur usko bhi chalis million times viewed four million,neutral
s folder ke lie ke lie quota prapt kar raha hai,neutral
important speeches men ve in donon ko udghrit karna nahin chance the.,positive
tyoob ko achchhi tarah lagaen jisse ki stove aur regulator push ke nozzle ko full tarah dhnka ja sake.,neutral
ne messages arrive par enable audible notifications karen,neutral
pichhe ek bari sabhi huee jismen hakim sahab aur pandit hakim ke public hue.,neutral
paranabhik ko nabhi ke pas sthit jana jata hai,neutral
aur jab garden nikat kar di jaegi ,neutral
panduvarn ya pitavarn complexion ko refers karta hai,neutral
in sabhi forms ka areas evn business activities aayojit karne ke vishishta kshetr own,neutral
group of people samooh jo samoohik rup se kisi karypryojan people who work,neutral
aryans deities ki koee statues ya temples nahin banate the.,neutral
jo bhi mere sath chalta hai uski life and death mere hathon men hoti hai .,negative
crowding bhi destruction ke any karnon ko janm deti hai jaise bimari aur aparyapt poshan.,negative
ham win vale hain kyonki hamare pas ek sapna hai.,positive
indian partnership act  1932 ki section 4,neutral
inspired shikshak apne udaharan se apne vidyarthiyon instill good moral moolyon ka samavesh kar sakte hain.,positive
kripya apne vyaktigat health and well-being aur republic of equatorial ki maitripoorn janta ki pragti aur samriddhi ke lie meri shubhkamnaen svikar karen.,positive
selected bookmark ko ne tab men open,neutral
yah patrak batata hai ki vitamin ke kh deficiency bleeding vitamin ke kh ki kabhi kami ki vajah se khoon bahne lagna kya current advice yah vitamin ke kh sapliments ke labh aur snbhavit prtikool paristhitiyon ke bare men bhi jankari deta current advice,positive
square aditala ki outer wall par uske prastara ke oopar corners par char karnakutas aur wall ke central khndon ke oopar bich men char shala hainniche adhishthan ko front baakar wider kar diya gaya hai  taki samne ek adhik bare square mandapa ka base ban sake,positive
ve revolution ki products thin,neutral
smoking  madira drinking  chinta  prdushan  high environment,negative
bajat pesh karte hue budget speech diya jata hai jo vastav men snsad men sabse important speeches men se ek hota hai,positive
jo koee virtue shall receive aaya use usse uttam prapt hoga aur jo bura aacharan lekar aaya to buraiyan karnevalon ko to vas vahi milega jo ve karte the,positive
indian partnership act 1932 ki section 4,neutral
observable jane vale universe ke edge se,neutral
magar ye surely n hoga,negative
jal conservation and management snbndhi parliamentary forum,neutral
tathapi fact yah hai ki hamara region least integrated aur viksit greater huaa hai  jo hamare trade effort ke intensification sahyog aur teji ki need darshata hai.,positive
size aur location ka main window,neutral
game ke pas koee solution nahin hai  vapas le ya phir shuroo karen,negative
tumhe dukh men help i bhi dukh ho raha hai  islie tum best ko bachane ki main ji-jan se koshish karoonga.,positive
is sahejen  to ek aur banane ke lie :,positive
aur samood ke sath kya kiya jo valley ra carved the rocks kar ghar banate the,neutral
new channel ke vimochan ki date tay karne ke lie meeting bulaee gee.,neutral
usmen  usual jaisa hota hai  malaen pahnaee gee aur speeches aadi hue.,neutral
1988 me skool ke ek haris sheild match ke dauran sathi ballebaj vinod kanbli ke sath sachin ne aetihasik 664 rano ki avijit sajhedari ki.,neutral
bari bhayavah bet thi yah .,negative
id aaeedi  system men chaloo pratyek process ke lie ek unique number aavntit karta hai.,positive
geographic size india ke aadhar par vishv ka satvan sabse seventh largest country,neutral
allows bugzilla URL khinchna note sidhe gnote men  bug number ko bataur url jora jata hai ise nikat koee little bug chihn ke sath,negative
article 90 men rajya sabha ke exists ke lie similar hi provision he,neutral
ab us rand ka face don dekhna.,negative
ata tum donon apne rab ki anukampaon men se kis-kis ko deny,positive
in sevices ke leaflets men detailed informaiton ke lie patrika available hai.,neutral
aur ye ki hamara to men tha ki aadmi aur jin uda ki jinn jhoothi bat nahin bol sakte,negative
aur ibrahim ne apni aum se kaha ki tum logon ne uda ko chhorakar buto ko sirph duniya ki zindgi men baham mohabt karne ki vajah se uda bana rakha hai phir yamat ke din tum men se ek ka ek inkar karega aur ek doosre par lanat karega aur aair tum logon ka thikana jahannum hai aur us vakt tumhara koee bhi madadgar n hoga,negative
kuchh nahin  jab pran knth ko aa collar ,negative
ministry ne is scheme ko prbhavi dhng se lagoo karne ke lie several steps uthae hain.,positive
moolta soory shashthi fast suryashashthi karan ise chhath kaha gaya hai.,neutral
rectum aur brihdantr ka swelling,neutral
sound aavaj aur sound events change,neutral
par sahasron sanskrit text anek sroton se anek inkoding men,neutral
aur ham zarur is kam ko poora karengen aur yoosuph ne apne mulazimon naukron ko hukm diya ki unki jma poonji unke boro men choopke se rakh do taki jab ye log apne ehlo ayal ke pas laut kar jaen to apni put their money le,neutral
udaharan ke taur par ek muslim child ki shiksha ka learn to read mahatvpoorn ang tha arbi padhne ka jnjan taki vah kuran padh saken,positive
unhonne enaaeeephem ko is siddhant ko choosing ke lie congratulated di thi.,neutral
iske do ansho me pippal aur do ansho me mahan shashkhargosh dikhayi deta hai.,neutral
chunne ke dauran alpha channel ke sath actor ko shape den,neutral
is weather underground Weather Underground jo hai jabki koee hatahat karan vibhinn duniya rajnitik muddon ke lie midiya ka dhyan lane ke lie terror group ka pradarshan ek ugrvadi sngathan amerika gaya thais mudde se kee snkshipt die ge samachar sevaon dvara terror group ke snbndh men hi ullekh hai,negative
s aapko bula kar raha hai  kya aap javab dena chahte hain,positive
lsd  es  di  mind par kis prkar asar dalti hai  yah present men thik-thik pata nahin hai.,neutral
un people ka badla yahi hai ki unapar allah aur farishton aur sare condemnation of god hai,positive
kya image gallery pane badalne yogy hona chahie,neutral
phir kaha jaega yah vahi hai jis tum lie the,neutral
ata patient se kam lo  uttam patient,positive
s failed to store store mail men asaphla s,negative
kul disbursements bakar 2629 total mn hona,neutral
religious brotherhood aur samprdayik gupta milap indian communities ke basis hai.,neutral
unke mamle men  ise bima chikitsa vyavsayi ke clinic aur ip case ke residence ke bich 5 ki  km  ki distance tak prti case fee men shamil kiya jata hai.,neutral
yah treatment keval allergic janit asthma ke nishchit cases men hi karagar possible,negative
se call karen! vshingatan se call karen!,neutral
aapka discipline  samarpan aur commitment mushkil halat se gujarne men aapki rough karega.,positive
koee doosra manushy ye kahe kya aapko samajh understand,neutral
crude oil ke alava niryat kiya jane vala any malsaman.,negative
tab use fikr huee ki lash ko kya kare to uda ne ek kauve ko bheja ki vah zamin ko kuredne laga taki use abil ko dikha de ki use apne hide the corpse kyonkar chhupani chahie ye dekhakar vah kahne laga hae afsos kya main us se bhi aajiz hoon ki us kauve ki barabri kar sakoo ki bla se yah bhi hota to apne hide the corpse chhupa deta alagaraz vah apni harakat se bahut pachhtaya,negative
to people today sign ruh ko to nahin  magar  tere body ko  many signs hone se  b,positive
to jab eye chaundhiya jaegi,neutral
apni potential ka poorn vikas n karna world men sabse greatest crime hai  jab aap apni poorn kshamta ke sath kary best karte hain  tab aap doosron ki sahayta karte hain,positive
s  doosre argument ki ek time _ second ki aasha karta hai,negative
ankush ek huk aakariy process or part hai.,neutral
standard chartered 140 million brought hai.,neutral
pareshan-aadhar par bheja gaya goods consignee ke suraksha v dharita men remain basis,neutral
nikazad naujoomi ke chitr anekon bal pustkon men liye gaye hai.,neutral
thori bhi asuvidha se ve upset ho uthte hain aur government officials ke lie unhen raste par task to bring samasya ban jati hai,negative
ata inkar karnevalon ki bat n manta aur is  qur  ke dvara unse unbelievers karo  bara unbelievers !  ji tor koshish,neutral
installed package   s  ke lie janch raha hai,neutral
worship hi vah folk fragment hue hai  ruin hokar rahega. aur jo kuchh ye kar rahe hai sarvtha vain hai.,negative
kisi ko impressive manner se dekhne ki action,positive
khuda sood ko mitata hai aur increase for charities hai aur jitne nashukre gunahgar hain khuda unhen dost nahin rakhta,positive
nissndeh yahi bat pahle ki earlier men bhi hai,positive
2 naqara jiski koee twenty pairs hain.,neutral
aur yah ki meri bandgi karo yahi straight path hai,positive
kya label widget sabhi upalabdh horizontal space ko bharna chahie,neutral
air dispersion modeling aur rupantaran farmule chhah se ek lekh samarpit karne ke lie technical quality aur vayu prdooshan ke air dispersion modeling,positive
ham sab milakar sashakt aatmvishvas aur prosperous nation ke rup men bharat ka 21vin shatabdi men padarpan karaenge.,positive
isse pahle ki boy kuchh javab deta ek titli un donon ke bich aakar apne par pharapharane lagi.,neutral
aur unse kaha jaega apne azab ka maza chakho ye vahi hai jiski tum jaldi machaya karte the,positive
unki eyes spoke of death de rahi thin.,negative
overcrowding and outstanding shesh pnjikaran ki snya men vriddhi hoti gayi,positive
is star par pakshkaron ke learned counsel ne dhyan dilaya ki decreetal amount tab se is adalat ke maha-rjistrar ke pas jama kar di gee thi jo ki ek savdhi jama rasid men pari huee hai,negative
inke alava ganesh chaturthi aur janmashtmi kuchh adhik dhoom-dham ke sng manaye jate hain.,positive
to o donon apne rab ki bounties men se kis-kis ko jhuthlaoge,negative
prices men change ko measurement ka ek paimana.,neutral
act ke tahat  general  patents  dizain aur tred mark commerce evn trade ministry  industrial policy evn pravartan department ke antargat dizainon ka controller hai.,neutral
vinishiddhvarjit goods ke trading par control ke lie process prakriya.,neutral
har bar jab bhi aap full and deep sans lete hain athva jor se atthas lagate hain to aapko extra energy instantly prapt hoti hai,positive
aapko isi reng me range hai,neutral
aur yah hai jiske lie ham designing kar rahe hain,neutral
madras presidency college men radhakrishnan 1911 men laute.,neutral
soochna aur praudyogiki kshetr ne bharat ko soochna praudyogikibipio tatha sphtveyar sevaon ka prmukh niryatak banate hue ek major services hub ke roop men vishv men sthapit kar diya hai.,neutral
kul disbursements bakar 2629 total rupe hona,neutral
yah batata hai ki file ke andar data kaise sngthit hai. data istemal karne vale kisi pragram ko file ke andar data pahchanne tatha access karne men able hona programme,neutral
isse pata nahin kitna deep sukh use mila tha.,positive
vulnerable  victim of crime hue kuchh logon men phir se uske victim banne ki adhik prvritti hoti hai,negative
urdu bhi hindi ki is shakti se hi paida huee hain.,neutral
isliye vah vidhi hamare yog ke liye paryapt nahin kisi aur sadhan ki bhi aavashyakta hai jo adhik sarvagrahi roop men bhavatmak ho.,positive
yah kaise arji bhar ke mil sakta hai is ke lie pan krmank 15 dekhen .,neutral
folder anumtiyan likh raha hai  kripya wait karen  User,positive
yah mujhe bad men pata chala.,neutral
in sevaon ke baren men detailed informaiton ke lie patrika upalabdh hai.,neutral
aap ek basta le sakte hain,neutral
status bar ka toggle display karen,neutral
money aur sadhnon ki low se joojhte countries ki political prathmiktaon men in logon ki needs ka sthan bahut niche hota hai.,negative
mahadvipiy tatha mahasagron ki kuchh chaunka dene vali vishishttaon ki vyakhya karne ke lie great british geologist aarthar 141bhoomndliy vivartniki homs 1928 ne yah kalpna ki ki prithvi ke pravar men kuchh aesi snvahan dharaen utpann hueen jo bhooprishth ke snchalan ka karan banin.,positive
dar ji ne hamari mitrta ko pallvit-pushpit hone diya parantu inko kaha ki tum bhi apne gharvalon se is snbndh men sahamti le lo taki bad men koee kathinaee n ho.,positive
vah sector jismen desh ki vah entire population jo apni ichchhaon aur aavashyaktaon ki poorti men snlagn ho shamil hoti ho.,positive
hindi ke bare men great personalities ke vachan,positive
ek so-called philosopher king  jo apni party ke rise se oopar hai,positive
is bich priority prapt sector ko di period outstanding lending amount june 1969 se september 2000 ke bich 441 karod se badh kar 134107 crore net ho period  jo public sector ke banks ke shudgh bank lending ka 4341 prtishat thi.,positive
ve svikar karte hain ki ve ek doosre par sidhe see other hai.,positive
21  fort iron phort ke roop men bhi jana jata hai fort bharatpur ke prmukh aetihasik attractions men se ek hai.,positive
svyn apne kshetr men ham lagatar koshish kar rahe hai ki clear old suspicions ho aapsi samajh ki rah khule aur bngladesh pakistan tatha bharat ke bich sthayi mitrta ke lie paristhitiyan anukool bane.,positive
